Akzo Nobel Chemicals India Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Ajanta Soya Ltd.,Vegetable Oils & Products,31.11,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,31.09,32.5,22.0,39.78
Ajanta Pharma Ltd.,Pharmaceuticals & Drugs,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Brokers upgraded recommendation or target price in the past three months ,2200.15,2225.95,1131.7,2353.95
Agro Dutch Industries Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,1.4,1.45,1.4,1.8
AksharChem (India) Ltd.,Dyes & Pigments,282.0,Company with Low Debt,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,280.7,288.4,201.05,321.95
Akzo Nobel India Ltd.,Paints,NaN,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,RSI indicating price strength ,2670.3,2719.8,2123.2,2965.2
Asian Fertilizers Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Aerpace Industries RE Ltd.,NaN,3.17,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,2.5,3.35,1.9,10.0
Akshay Software Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AVI Photochem Ltd.,Trading,30.75,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,29.75,31.9,16.9,36.1
Alcoblex Metals Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Asian Industrial Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Azad Engineering Ltd.,Aerospace & Defence,671.2,Company able to generate Net Cash - Improving Net Cash Flow for last 2 years,Companies with Increasing Debt,No Opportunity for this stock,667.05,677.0,524.0,727.0
Advait Infratech Ltd.,Construction - Infrastructure,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Highest Recovery from 52 Week Low ,1063.0,1109.0,206.1,1109.0
Avon Corporation Ltd.,Engineering,0.17,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.17,0.17,0.17,0.76
Arihant Academy Ltd.,Educational Institutions,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,RSI indicating price strength ,177.0,180.05,91.25,193.0
Axtel Industries Ltd.,Engineering - Industrial Equipments,739.6,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of assets to generate profits - ROA declining in the last 2 years,Highest Recovery from 52 Week Low ,710.0,769.9,197.5,850.3
Asian Energy Services Ltd.,Oil Exploration and Production,276.45,"Strong Momentum: Price above short, medium and long term moving averages","Negative profit growth, promoters decreasing shareholding QoQ",Turnaround companies- loss to profit QoQ ,275.1,289.0,51.5,297.0
AXSENSEX Ltd.,Miscellaneous,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,72.02,73.96,0.0,85.0
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,No Opportunity for this stock,11.44,11.8,10.05,13.3
Azure Exim Services Ltd.,Edible Oils & Solvent Extraction,5.67,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,5.67,5.67,2.28,5.67
Ayepee Lamitubes Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Ayoki Mercan Ltd.,Finance - Investments,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.0,0.0,18.0,18.0
Axita Cotton  Ltd.,Textiles,27.26,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Negative Breakdown Second Support (LTP < S2),No Opportunity for this stock,26.5,27.5,18.56,62.25
AYM Syntex Ltd.,Textiles & Apparel,85.11,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,83.95,86.9,58.0,92.35
AXISILVER Ltd.,Miscellaneous,NaN,No Strength for this stock,"Weak Momentum: Price below Short, Medium and Long Term Averages",No Opportunity for this stock,72.07,72.71,0.0,79.0
Axis NIFTY Healthcare ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout First Resistance ( LTP > R1) ,110.69,111.95,74.05,113.6
Axis NIFTY 50 ETF,ETF,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,232.0,236.6,179.3,240.35
AVS World Trade Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Axis NIFTY IT ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,386.0,390.41,274.64,396.4
Axel Polymers Ltd.,Plastic Products - Others,71.66,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,68.0,71.66,39.81,73.63
Aztecsoft Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Axis Mutual Fund - Gold ETF,Gold ETF,53.03,Near 52 Week High,No weakness for this stock,No Opportunity for this stock,52.88,53.23,47.01,55.6
Axis NIFTY Bank ETF,ETF,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,464.44,467.99,389.79,495.98
Axis Bank Ltd.,Bank - Private,NaN,Increasing Revenue every Quarter for the past 4 Quarters,Red Flag: High Interest Payments Compared to Earnings,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",1102.8,1126.45,814.3,1151.85
Axiscades Technologies Ltd.,IT Services & Consulting,818.85,"Strong Momentum: Price above short, medium and long term moving averages",High PE with Negative ROE,Negative to Positive growth in Sales and Profit with Strong Price momentum ,802.2,822.95,248.05,850.0
AVT Natural Products Ltd.,Vegetable Oils & Products,92.25,Growth in Net Profit with increasing Profit Margin (QoQ),Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,92.0,93.5,73.7,105.55
Awas Ayogen Vittnigam Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AVSL Industries Ltd.,Plastic Products,NaN,Book Value per share Improving for last 2 years,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,0.0,0.0,85.0,185.0
Avon Industries Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AVTIL Enterprise Ltd.,NaN,6.42,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,6.42,6.42,0.0,6.42
AVI Industries Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Avikem Resins Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Aviva Industries Ltd.,Trading,26.42,Effectively using its capital to generate profit - RoCE improving in last 2 years,New 52 week low today,No Opportunity for this stock,26.42,26.42,26.42,31.78
Avonmore Capital & Management Services Ltd.,Finance - Investment,105.45,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,96.3,105.6,58.5,105.6
Avro India Ltd.,Plastic Products,136.6,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit (YoY),Positive Breakout Third Resistance ( LTP > R3) ,126.0,139.5,94.0,154.45
Avon Mercantile Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AVG Logistics Ltd.,Courier Services,428.9,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Highest Recovery from 52 Week Low ,421.55,447.0,105.0,464.0
Bajaj Hindusthan Sugar Ltd.,Sugar,26.43,Effectively using its capital to generate profit - RoCE improving in last 2 years,Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,26.25,26.7,11.45,35.85
Axis NIFTY India Consumption ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,97.61,98.24,70.96,102.35
Baffin Engineering Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AVI Polymers Ltd.,Speciality Chemicals,11.61,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,11.51,11.61,9.75,20.24
Bajaj Global Ltd.,Trading,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.0,0.0,0.0,0.0
Bacil Pharma Ltd.,Pharmaceuticals & Drugs,7.49,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,Stock with Low PE (PE < = 10) ,7.21,7.49,4.68,9.99
B and A Ltd.,Tea/Coffee,422.0,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,410.0,426.8,216.7,428.95
Bajaj Healthcare Ltd.,Pharmaceuticals & Drugs,343.95,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Second Support (LTP < S2),Stock with Low PE (PE < = 10) ,343.35,352.4,275.7,513.4
S S F Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AVI Export (India) Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Bajrang Finance Ltd.,NaN,13.83,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,13.83,13.83,4.5,13.83
Balaji Galvanising Industries Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Business Forms Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BWL Ltd.,Cables - Telephone,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.0,0.0,3.52,27.93
B. N. Rathi Securities Ltd.,Finance - Stock Broking,104.1,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Profit making Companies with High ROCE and Low PE ,99.0,105.0,32.0,110.9
Balaram Cements Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Bala Techno Industries Ltd.,Textiles - General,1.07,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,1.05,1.15,1.05,1.15
B&B Triplewall Containers Ltd.,Containers & Packaging,274.45,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,RSI indicating price strength ,270.4,277.6,178.55,303.15
Bubna Major Bio tech Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Budge Budge Company Ltd.,Miscellaneous,12.12,High growth stocks with promoters increasing shareholding,Decline in Quarterly Net Profit (YoY),Positive Breakout Third Resistance ( LTP > R3) ,12.12,12.12,10.0,12.12
Bull Power System Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BTW Industries Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Butterfly Gandhimathi Appliances Ltd.,Domestic Appliances,NaN,Strong Annual EPS Growth,MFs decreased their shareholding last quarter,No Opportunity for this stock,1033.0,1050.5,977.55,1562.9
Burnpur Cement Ltd.,Cement,7.59,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,6.9,7.55,3.8,8.8
Burr-Brown (India) Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Bodhi tree Multimedia RE Ltd.,"Film Production, Distribution & Entertainment",NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Bharat Sanchar Nigam Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BSL Ltd.,Textiles & Apparel,207.85,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Companies with High Debt,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",204.25,216.3,145.6,238.9
BSI Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BSEL ALGO Ltd.,Construction - Real Estate,17.31,Strong Annual EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",17.23,17.59,4.7,19.74
B&A Packaging India Ltd.,Packaging Materials-Containers & Packaging,257.0,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,251.0,261.0,170.25,274.95
BSE Ltd.,Finance - Stock Broking,NaN,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Brokers upgraded recommendation or target price in the past three months ,2251.0,2286.1,406.2,2595.0
BSE PSU,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BSE Sensex,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BSE National Index,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BSE IT Sector,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cals Refineries Ltd.,Oil Exploration and Production,0.1,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.1,0.1,0.1,0.1
BSE Healthcare,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
C & C Constructions Ltd.,Construction - Infrastructure,2.4,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,2.23,2.43,2.23,9.07
BSE Consumer Durables,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
BSE Dollex,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cyient DLM Ltd.,Electric Equipment,659.85,Growth in Net Profit with increasing Profit Margin (QoQ),MFs decreased their shareholding last quarter,Negative to Positive growth in Sales and Profit with Strong Price momentum ,657.95,672.1,403.0,778.9
BSE FMCG Sector,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cyberwave Internet Solutions Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cyient Ltd.,IT Services & Consulting,NaN,Company with high TTM EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Brokers upgraded recommendation or target price in the past three months ,2214.15,2249.8,831.5,2458.95
Cyber Media (India) Ltd.,Printing & Publishing,35.59,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",32.25,36.85,12.7,36.85
Cybertech Systems and Software Ltd.,IT Services & Consulting,200.55,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,198.3,205.4,84.8,213.75
Cyberspace Multimedia Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cyber Media Research and Services Ltd.,TV Broadcasting & Software Production,NaN,Company with high TTM EPS Growth,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,152.95,153.0,102.9,231.0
Cybele Industries Ltd.,Cables,41.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,Negative Breakdown First Support (LTP < S1),Turnaround companies- loss to profit QoQ ,40.13,44.0,15.0,49.4
CWD Ltd.,Electronic Goods,951.0,Company with Low Debt,Negative Breakdown Second Support (LTP < S2),RSI indicating price strength ,907.0,964.5,532.0,1949.0
BSE Dollex 30,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Curefast Remedies Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cvil Infra Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cyanamid Agro Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cutfast Abrasive Tools Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
CV Steels Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cyberscape Multimedia Ltd.,Computers - Software Medium & Small,2.9,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,2.9,2.9,2.7,3.05
Cupid Trades Ltd.,Trading,16.3,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,16.3,16.3,15.0,167.0
Cyberspace Infosys Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
CUBEINVIT Ltd.,Miscellaneous,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.0,0.0,0.0,100.0
Cure Spects Laser Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cura Technologies Ltd.,Software,1.78,Annual Net Profits improving for last 2 years,Companies with High Debt,Positive Breakout First Resistance ( LTP > R1) ,1.78,1.78,1.54,2.06
Cummins India Ltd.,Auto Ancillaries - Diesel Engines,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit (QoQ),Brokers upgraded recommendation or target price in the past three months ,2076.15,2126.45,1358.4,2126.45
Cupid Ltd.,Miscellaneous,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit with falling Profit Margin (YoY),Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,1684.85,1862.15,239.25,2019.9
Cubex Tubings Ltd.,Metals - Non Ferrous,71.0,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",69.55,70.6,24.25,74.1
Cube Highways Trust,NaN,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.0,0.0,NaN,NaN
Cubical Financial Services Ltd.,Finance - NBFC,1.99,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),RSI indicating price strength ,1.99,1.99,1.19,2.42
CSJ Technologies Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Cuddapah Spinning Mills Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
CT Cotton Yarn Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
